model,feature_set,val_mae,val_rmse,test_mae,test_rmse
xgb_random_search,full_features,15.633555371920773,23.304599957194128,21.79504482256471,31.431403855420516
xgb_small,full_features,15.806416253657874,23.461428961099212,22.25814916704086,31.579211238318816
xgboost,full_features,16.2025793606234,24.513322789081545,24.140998412011488,34.813212031405115
rf_random_search,full_features,16.44977446687821,25.01022405383131,23.025810808338548,33.43969412965764
random_forest,full_features,16.536518692248976,25.25855725674534,23.21653620550345,33.89714628641314
rf_200,full_features,16.712222272111948,25.42608769527838,23.351568823606417,33.94609790678782
baseline_linear,full_features,37.08312182641453,49.15371916023164,35.8080415364544,46.75387476319191
ridge,full_features,37.30906115285909,49.574720120868385,35.759471071507,46.80977280870365
knn,full_features,45.472014650141716,58.80715335311329,68.17526528514531,90.51088090607193
baseline_raw_linear,raw_only,114.78312333473562,139.73554951210093,137.17350100991447,167.52480435721037
